Celsius,Fahrenheit,Humidity
19.4,66.92,18.766813485112
20.6,69.08,17.423106027585
20.0,68.0,17.277167960343
20.0,68.0,12.883740263725
19.4,66.92,16.488283406702
17.8,64.04,25.570066013265
15.6,60.08,33.065502601487
15.6,60.08,36.071885398896
12.8,55.04,48.495910884434
12.8,55.04,44.825647460854
11.1,51.98,54.243248379225
10.0,50.0,60.908961322286
10.0,50.0,60.908961322286
9.4,48.92,60.763303347215
9.4,48.92,47.882118070289
7.8,46.04,57.807103302052
7.8,46.04,55.339814528599
7.2,44.96,55.585563066252
6.7,44.06,62.322868593296
7.2,44.96,57.652751593806
8.9,48.02,51.363749738048
11.7,53.06,46.482344108178
15.0,59.0,40.570677165318
17.2,62.959999999999994,38.130872126473
18.9,66.02,24.761910914694
18.9,66.02,23.866079780489
19.4,66.92,20.386333072581
20.6,69.08,18.229509281473
20.0,68.0,22.288499267921
18.3,64.94,21.836127495952
16.7,62.059999999999995,33.628498620744
15.0,59.0,53.387636244354
14.4,57.92,57.445914140707
13.9,57.02,50.90931533382
13.3,55.94,52.935170405058
13.9,57.02,52.725443601338
12.8,55.04,56.643564028212
12.8,55.04,52.429827732781
12.8,55.04,50.607985456672
11.7,53.06,56.36085975426
,,
11.7,53.06,52.131989560281
11.1,51.98,54.243248379225
11.7,53.06,50.304482107269
13.3,55.94,
15.0,59.0,40.570677165318
18.3,64.94,35.578530191776
21.7,71.06,27.62188731982
22.8,73.04,23.033527133224
21.7,71.06,29.862534127538
21.7,71.06,29.862534127538
19.4,66.92,33.216318546267
18.9,66.02,30.352187830337
17.2,62.959999999999994,42.678412848435
16.1,60.980000000000004,47.724238637382
14.4,57.92,61.955883433798
13.9,57.02,61.838774319798
13.3,55.94,64.299549793469
13.3,55.94,64.299549793469
10.6,51.08,73.709316572126
10.6,51.08,73.709316572126
10.0,50.0,74.11362974689
8.9,48.02,70.874364547581
8.3,46.94,70.756646043571
7.8,46.04,73.201672074915
8.3,46.94,70.756646043571
10.6,51.08,63.240936158413
12.8,55.04,56.643564028212
16.1,60.980000000000004,45.76699919818
18.3,64.94,36.85932550185
20.0,68.0,37.350834680173
20.0,68.0,38.940283505259
20.6,69.08,41.893107651205
20.0,68.0,42.010163472526
18.9,66.02,46.552018727041
16.1,60.980000000000004,53.677597406478
16.1,60.980000000000004,53.677597406478
15.0,59.0,64.241540272317
15.0,59.0,64.241540272317
15.6,60.08,74.582928368531
14.4,57.92,80.568800216805
13.3,55.94,80.418244090481
,,
11.1,51.98,80.112078202727
11.7,53.06,79.654510078888
11.1,51.98,80.112078202727
11.7,53.06,79.654510078888
12.2,53.96,77.073390888716
12.2,53.96,80.266011265195
12.2,53.96,83.015085466252
12.2,53.96,86.423356721086
12.8,55.04,86.482711038053
,,
12.8,55.04,86.482711038053
12.2,53.96,86.423356721086
12.2,53.96,89.954432820851
12.8,55.04,86.482711038053
12.8,55.04,86.482711038053
13.3,55.94,86.531884394108
14.4,57.92,83.831702542696
15.0,59.0,83.351127453408
16.7,62.059999999999995,72.346821714672
16.7,62.059999999999995,64.618443338854
16.7,62.059999999999995,62.07009077168
16.7,62.059999999999995,60.014617549683
17.8,64.04,60.277058019152
18.9,66.02,54.041472622718
